Reference,Source Type,Genus,Species,Study site,Ecoregion,Sampling method,Activity categories,Home range method,Year,Latitude,Longitude,Altitude (m),Annual rainfall (mm),Max mean temp ,Min mean temp,Mean annual temp,Area (km2),Home range (ha),Density (ind/km2),Density (grps/km2),Groups,Individuals,Study length (month/hour),Hour,Plant species,Plant genera,Plant families,Unidentified species,Non-fig fruit (%),Fig (%),Fruit (%),Leaf (%),Flower (%),AO,Animal (%),Feeding (%),Moving (%),Resting (%),Singing (%),Social (%),Other (%),Tree density (/ha),Tree height (m),Mean DBH (cm),,,,,
Cheyne 2010,,Hylobates,H. albibarbis,"CIMTROP, Sabangau, Central Kalimantan",Southwest Borneo freshwater swamp forest,Instantaneous focal sampling every five minutes,,,2005-2008,-2.31,113.9,10.00,2784.00,,,,5300,47.00,10.38,2.59,11,48,37,,77,25,18,1,63.00,6.00,69.00,25.00,5.00,1.00,1,,,,,,,,,,,,,,
Duma 2007 (Group KC),,Hylobates,H. albibarbis,"CIMTROP, Sabangau, Central Kalimantan",Southwest Borneo freshwater swamp forest,,,,2005,-2.19,113.54,20,2600,,,,500,29.50,,,1,4,5,126.8,70,48,33,,,,73,16,10,1,,,,,,,,,,,,,,,
Suyanti 2007,Masters,Hylobates,H. albibarbis,"CIMTROP, Sabangau, Central Kalimantan",Southwest Borneo freshwater swamp forest,,,,2005,-2.16,,20,2600,,,,500,,,,,,4,,54,39,29,,,,,,,,,,,,,,,,,,,,,,
Vogel et al. 2009; Vogel et al. 2015; Posa & Marques 2012,,Hylobates,H. albibarbis,"Tuanan, Mawas, Central Kalimantan",,,,,2006,-2.09,114.26,30,2678,,,,3099,,,,1,4,5,859,37,27,20,,,,,,,,,,,,,,,,,,,,,,
Yanuar 2007 (Group U1),,Hylobates,H. agilis,"Lorong Gambir, Bangko",,Instantaneous focal sampling every ten minutes,,,2003-2004,-2.05,102.18,125.00,2066,28,16,,0.45,23.75,6.67,2.22,1,3,18,650,,,,,46,25,70.8,19.5,3,7,7,,,,,,,,,,,,,,
Yanuar 2007 (Group S1),,Symphalangus,S. syndactylus,"Sungai Misang, Bangko",,Instantaneous focal sampling every ten minutes,,,2004,-2.05,,125.00,2066,,,,1,19.75,7.00,3.00,1,3,18,550,,,,,20,29,48,43.4,1,7,7,,,,,,,,,,,,,,
Yanuar 2007 (Group S3); Yanuar 2009,,Symphalangus,S. syndactylus,"Kulai Tanang, Gunung Tujuh, Kerinci-Seblat ",,Instantaneous focal sampling every ten minutes,,,2004,-1.3,,375.00,6149,,,,14846,21.50,7.14,2.10,1,3,14,425,,,,,17,37,53.5,40.7,0,6,6,,,,,,,,,,,,,,
Yanuar 2007 (Group U3); Yanuar 2009,,Hylobates,H. agilis,"Kulai Tanang, Gunung Tujuh, Kerinci-Seblat ",,Instantaneous focal sampling every ten minutes,,,2003-2004,-1.3,101.24,375.00,6149,28,16,,14846,24.75,11.40,3.80,1,3,14,416.7,,,,,42,23,65.2,19.3,4,11,11,,,,,,,,,,,,,,
Yanuar 2007 (Group S2),,Symphalangus,S. syndactylus,"Sungai Mangun, Tidar Kerinci Agung Company Estate",,Instantaneous focal sampling every ten minutes,,,2004,-1.28,,275.00,6030,,,,0.55,20.25,7.27,1.82,1,4,17,641.7,,,,,22,32,51.3,38.7,1,7,7,,,,,,,,,,,,,,
Yanuar 2007 (Group U2),,Hylobates,H. agilis,"Sungai Tembalun, Tidar Kerinci Agung Company Estate",,Instantaneous focal sampling every ten minutes,,,2003-2004,-1.28,101.25,325.00,4909,28,16,,0.9,21.25,7.78,3.33,1,3,15,791.7,,,,,49,20,69.7,21.2,5,4,4,,,,,,,,,,,,,,
Whitten 1982; Whitten et al. 1979 (Group BG4),,Hylobates,H. klossii,"Paitan, Siberut, Mentawai",,Scan sampling every ten minutes,,,1977,-1.21,,50.00,4200.00,,,,1500,31.00,10.50,2.84,1,3,8,650.0,50,36,28,4,49.00,23.00,72.00,2.00,0.00,25.00,25,,,,,,,,,,,,,,
Marshall 2004; Paoli et al. 2001,,Hylobates,H. albibarbis,"Cabang Panti, Gunung Palung, West Kalimantan","Freshwater swamp, alluvial bench, lowland sandstone, lowland granite, upland granite, montane, peat swamp","""…a pair of replicate census routes in each of the seven habitats…all census routes started at 5:30 am and ended at approximately 11:00 am…recorded the behavior (e.g., traveling, resting, feeding) of the individual first seen…could entail following the group for up to one hour...and continued the census...In addition to opportunistic sightings...during censuses, we routinely searched for these two species...""",,"""Once all group sightings were plotted on the map, I drew the smallest possible polygon that included all of the group observation points. I counted the number of squares inside this polygon, and multiplied this number by 0.25 ha to estimate the home range size of each group...In many cases, sample sizes were inadequate to accurately determine home range size...I conducted [a] polynomial regression of estimated home range on the number of observations...as an unbiased estimate of home range size.""",2000-2002,-1.13,110.7,305.20,4275.00,,,,900,43.00,5.91,2.03,33,140,22,2200.4,,,,,,,,,,,,,,,,,,,,,,,,,
Clink et al. 2017; Marshall et al. 2014,,Hylobates,H. albibarbis,"Cabang Panti, Gunung Palung, West Kalimantan","Freshwater swamp, alluvial bench, lowland sandstone, lowland granite, upland granite","Line transect, continuous focal sampling for half an hour","""We described diet breadth of gibbons and leaf monkeys both in terms of the number plant taxa eaten and the relative proportion of feeding observations on each of five food classes (leaves, flowers, seeds, fruits, and figs).""","Sourced from Marshall 2004, et al. 2009",2007-2013,-1.13,110.7,305.20,4275,,,,900,43.00,,,33,143.00,66,6234.190286,,46,28,,54.10,20.00,74.10,9.70,9.70,6.90,,,,,,,,,,,,,,,
Marshall 2004; Paoli et al. 2001; Elder 2009; Marshall et al. 2009,,Hylobates,H. albibarbis,"Cabang Panti, Gunung Palung, West Kalimantan","Freshwater swamp, alluvial bench, lowland sandstone, lowland granite, upland granite, montane, peat swamp",,,,1985-1991,-1.13,110.7,475.00,4275.00,,,,900,,14.90,3.47,,,51,,,78,43,1,67.20,23.10,90.30,3.20,6.40,0.70,0.5,,,,,,,,,,,,,,
"Santosa et al. 2012 (Groups AP, MB, DT)",,Hylobates,H. albibarbis,"Cabang Panti, Gunung Palung, West Kalimantan","Freshwater swamp, alluvial bench, lowland sandstone, lowland granite, upland granite, montane, peat swamp",,,,2009-2010,-1.13,110.7,475.00,3000.00,,,,,26.34,,,3,15,7,192.6,>31,>21,>15,,,,,,,,,,,,,,,,,,,,,,
